smiles,occurrence,degree,type,bonds
*CC(F)(F)F,2492,1,Sub,-
*C#C,2484,1,Sub,-
*CCN,2469,1,Sub,-
*C1=NN(*)C(=*)c2ccccc21,2456,3,Ring,--=
*c1ccc2c(ccn2*)c1,2451,2,Ring,--
*C(=O)N(CC)CC,2451,1,Sub,-
*C1CCCNC1,2438,1,Ring,-
*CCNC(=O)C*,2430,2,Linker,--
*OCCOC,2396,1,Sub,-
*C=CC(=O)O,2392,1,Sub,-
*CCCCO*,2385,2,Linker,--
*c1ccc2nc(*)[nH]c2c1,2382,2,Ring,--
*c1ccc2c(=*)n(*)c(=*)c2c1,2371,4,Ring,-=-=
*C1=NOC(*)C1,2359,2,Ring,--
*n1cccc1,2347,1,Ring,-
*C1CCC(*)(*)CC1,2329,3,Ring,---
*c1ccc(*)n1*,2326,3,Ring,---
*c1ccc2c(*)n[nH]c2c1,2320,2,Ring,--
*C1=C(*)N(*)N(*)C1=*,2311,5,Ring,----=
*NC(=O)O*,2311,2,Linker,--
*CCNS(*)(=O)=O,2306,2,Linker,--
*=NO,2305,1,Sub,=
*CN(*)S(*)(=O)=O,2303,3,Linker,---
*c1cn(*)c2ncnc(*)c12,2295,3,Ring,---
*N1CCc2ccccc21,2294,1,Ring,-
*c1sc2ccccc2c1*,2286,2,Ring,--
*c1ccc[nH]1,2276,1,Ring,-
*C1COC(*)C(*)C1*,2273,4,Ring,----
*CCCO,2264,1,Sub,-
*NC(*)=S,2262,2,Linker,--
*c1ncsc1*,2251,2,Ring,--
*c1ccc2c(c1)CCN2*,2241,2,Ring,--
*C1Cc2ccccc2CN1*,2239,2,Ring,--
*N=[N+]=[N-],2219,1,Sub,-
*NC(=O)CC,2214,1,Sub,-
*c1cscn1,2207,1,Ring,-
*c1ccc2nc(*)n(*)c2c1,2199,3,Ring,---
*C(=O)NC(C)C,2191,1,Sub,-
*c1ncnc2[nH]ccc12,2190,1,Ring,-
*C1=NN(*)C(=*)C=C1,2188,3,Ring,--=
*c1nc2ccccc2nc1*,2178,2,Ring,--
*c1cc(*)c(*)o1,2171,3,Ring,---
*C1=C(*)C(*)NC(=*)N1,2148,4,Ring,---=
*C(=O)NC(C)(C)C,2140,1,Sub,-
*C1=C(*)C(*)N(*)C1=*,2138,5,Ring,----=
*C1CC(=*)N(*)C1=*,2135,4,Ring,-=-=
*CCCCCCCC,2133,1,Sub,-
*CNC(=O)CS*,2130,2,Linker,--
*C1CCC2C(*)C(*)OC3OC4(*)CCC1C32OO4,2121,4,Ring,----
*CCC(=O)NC*,2118,2,Linker,--
*c1cnc2ccccc2c1,2114,1,Ring,-
*C1=CCCCC1,2111,1,Ring,-
*C1=NC(=*)N(*)C=C1,2106,3,Ring,-=-
*c1nc2c(n1*)C(=*)N(*)C(=*)N2*,2106,6,Ring,--=-=-
*NC(=S)NC(*)=O,2100,2,Linker,--
*C1COc2ccccc2O1,2097,1,Ring,-
*C1(*)CCOCC1,2091,2,Ring,--
*OP(=O)(O)O,2080,1,Sub,-
*C1C(=*)N(*)C1*,2062,4,Ring,-=--
*NN=*,2059,2,Linker,-=
*c1ncn(*)c1*,2054,3,Ring,---
*c1cccc2c(=*)n(*)c(=*)c12,2053,4,Ring,-=-=
*c1ccoc1*,2051,2,Ring,--
*c1nc(*)c2cc(*)c(*)cc2n1,2051,4,Ring,----
*NC(=N)N,2042,1,Sub,-
*NC(=O)OC,2041,1,Sub,-
*NC(=S)N*,2032,2,Linker,--
*c1nc(*)c(*)c(*)c1*,2028,5,Ring,-----
*CN(C)S(*)(=O)=O,2023,2,Linker,--
*C1SCC(=*)N1*,1998,3,Ring,-=-
*N1CC(*)(*)C1,1982,3,Ring,---
*CCCC(*)=O,1964,2,Linker,--
*N1CCC1,1961,1,Ring,-
*c1c(*)n(*)c2ccccc12,1951,3,Ring,---
*c1ncc[nH]1,1940,1,Ring,-
*c1nnc(*)[nH]1,1929,2,Ring,--
*c1ccnc(*)c1*,1920,3,Ring,---
*C=CC*,1920,2,Linker,--
*C(=O)OC(C)C,1902,1,Sub,-
*OCCN(C)C,1896,1,Sub,-
*N1CCCC(*)(*)C1,1893,3,Ring,---
*c1nsc(*)n1,1891,2,Ring,--
*c1ccc2nc(*)ccc2c1,1886,2,Ring,--
*C1CCNC1,1880,1,Ring,-
*c1ccc2nc(*)c(*)cc2c1,1880,3,Ring,---
*c1ccc2ncc(*)c(*)c2c1,1871,3,Ring,---
*C1CCCN1,1867,1,Ring,-
*C1CCCC1*,1867,2,Ring,--
*c1nc[nH]c1*,1859,2,Ring,--
*C1CC(*)CN(*)C1,1857,3,Ring,---
*C=CC(=O)NO,1857,1,Sub,-
*c1c(*)c(=*)c2ccccc2c1=*,1854,4,Ring,--==
*c1ccc2nc(*)c(*)nc2c1,1846,3,Ring,---
*c1ccnc2ccccc12,1838,1,Ring,-
*c1cc2c(cc1*)CN(*)CC2,1837,3,Ring,---
*COC(=O)N*,1837,2,Linker,--
*C(=O)NC(*)*,1835,3,Linker,---
*CCCCNC(*)=O,1832,2,Linker,--
*c1ccon1,1831,1,Ring,-
*OCC=C,1831,1,Sub,-
*C1=NC(*)=C(*)C(=*)N1,1828,4,Ring,---=
*C1=NN(*)C(=*)N1*,1822,4,Ring,--=-
*c1cc2nccc(*)c2cc1*,1816,3,Ring,---
*c1cncc(*)c1*,1811,3,Ring,---
*SCC,1808,1,Sub,-
*OCCO,1794,1,Sub,-
*c1ncn(*)n1,1770,2,Ring,--
*S(=O)(=O)N(CC)CC,1769,1,Sub,-
*c1nc(*)c2cnn(*)c2n1,1767,3,Ring,---
*C1CCC(*)O1,1765,2,Ring,--
*c1ccc2ncccc2c1,1764,1,Ring,-
*C1CCN(*)C1=*,1756,3,Ring,--=
*C(=O)C=C,1753,1,Sub,-
*C1=Cc2ccccc2OC1=*,1749,2,Ring,-=
*c1ccc2nc(*)oc2c1,1746,2,Ring,--
*c1ccc2nccc(*)c2c1,1743,2,Ring,--
*OC(*)C,1739,2,Linker,--
*C(=O)C(C)C,1730,1,Sub,-
*c1ccc2[nH]ccc2c1,1728,1,Ring,-
*OCC(F)(F)F,1724,1,Sub,-
*CC(C)(C)C,1723,1,Sub,-
*c1oc2ccccc2c1*,1721,2,Ring,--
*c1ncnc2c1cnn2*,1720,2,Ring,--
*c1ccc2c(c1)c(=*)c(=*)n2*,1718,4,Ring,-==-
*=C1NC(=*)C(=*)N1,1717,3,Ring,===
*N1CCN(*)C1=*,1714,3,Ring,--=
*c1cc[nH]n1,1711,1,Ring,-
*NC(=O)OC(C)(C)C,1704,1,Sub,-
*NCCO,1703,1,Sub,-
*OS(=O)(=O)O,1703,1,Sub,-
*C(=O)NNC(*)=O,1700,2,Linker,--
*C1CCC(*)C(*)C1,1697,3,Ring,---
*n1c(=*)c(=*)c2ccccc21,1694,3,Ring,-==
*N1CCSCC1,1684,1,Ring,-
*=c1[nH]c2ccccc2c1=*,1683,2,Ring,==
*C1=Nc2ccc(*)cc2C(=*)N1*,1683,4,Ring,--=-
*NC(=O)C(*)C,1683,2,Linker,--
*c1ccncn1,1677,1,Ring,-
*n1nccn1,1662,1,Ring,-
*CF,1661,1,Sub,-
*N1CCCc2ccccc21,1660,1,Ring,-
*CCCC(=O)N*,1657,2,Linker,--
*C(=O)NCCN(C)C,1656,1,Sub,-
*OCCO*,1650,2,Linker,--
*C1=C(*)C(=*)C1=*,1645,4,Ring,--==
*CCCNC(=N)N,1645,1,Sub,-
*C1=CN(*)c2c(cc(*)c(*)c2*)C1=*,1641,6,Ring,-----=
*c1cc2c(cc1*)OCO2,1639,2,Ring,--
*c1ccc2sc(*)nc2c1,1639,2,Ring,--
*c1ccc2oc(*)c(*)c2c1,1636,3,Ring,---
*C1=CC=CN(*)C1=*,1636,3,Ring,--=
*C1=CC(=*)N(*)C=C1,1627,3,Ring,-=-
*c1ccc[n+](*)c1,1622,2,Ring,--
*CCCN(C)C,1622,1,Sub,-
*CC(=O)O*,1620,2,Linker,--
*C1CCC2(*)CCC3(*)C(CCC4C5(*)CCC(*)C(*)(*)C5CCC43*)C12,1614,8,Ring,--------
*n1nnc2ccccc21,1614,1,Ring,-
*c1cc2ccccc2s1,1612,1,Ring,-
*C(*)(*)O,1612,3,Linker,---
*C(=O)C(NC(=O)OC)C(C)C,1612,1,Sub,-
*N1C(=*)CCC1=*,1606,3,Ring,-==
*n1cnnc1,1605,1,Ring,-
*c1ccc2c(c1)CCC2,1605,1,Ring,-
*N1Cc2ccccc2C1,1603,1,Ring,-
*C1CCCC(*)C1,1601,2,Ring,--
*c1nc2ccccn2c1*,1601,2,Ring,--
*c1ccc2cccc(*)c2n1,1601,2,Ring,--
*CCl,1590,1,Sub,-
*N(C)S(C)(=O)=O,1589,1,Sub,-
*C1=C(*)N(*)C(=*)N(*)C1=*,1588,6,Ring,---=-=
*c1cc(*)n2ncc(*)c2n1,1587,3,Ring,---
*NC(*)*,1584,3,Linker,---
*C=NO,1574,1,Sub,-
*C1=C(*)C(=*)N(*)N=C1,1570,4,Ring,--=-
