smiles,occurrence,degree,type,bonds
*S(=O)(=O)NC,1194,1,Sub,-
*C1Cc2ccccc2C1*,1193,2,Ring,--
*NC(=O)CCC,1190,1,Sub,-
*c1ccc(*)c(N2CCN(*)CC2)c1,1186,3,Ring,---
*N1C(=*)CCC1=*,1185,3,Ring,-==
*C(=O)CCC,1182,1,Sub,-
*C(=O)N=*,1181,2,Linker,-=
*c1ccc2nccc(*)c2c1,1176,2,Ring,--
*NC=*,1172,2,Linker,-=
*CCCCC*,1170,2,Linker,--
*C1CC(*)C1,1167,2,Ring,--
*N1CCSCC1,1166,1,Ring,-
*c1nn(-c2ccccc2)c(*)c1*,1165,3,Ring,---
*C1CC2CCC1C2,1164,1,Ring,-
*NC(=O)NC(*)C,1164,2,Linker,--
*C(=O)NCC(*)*,1163,3,Linker,---
*C1CC(*)C(*)C(*)C1*,1155,5,Ring,-----
*CCCC(=O)O,1155,1,Sub,-
*c1nccnc1*,1141,2,Ring,--
*CCCCN,1138,1,Sub,-
*NC(=O)C(*)=O,1137,2,Linker,--
*c1ccc2cccc(*)c2n1,1135,2,Ring,--
*NCCOC,1135,1,Sub,-
*c1ccc2oc(*)c(*)c2c1,1133,3,Ring,---
*OC(=O)CC,1131,1,Sub,-
*CNC(=O)C(*)C,1130,2,Linker,--
*NC(=O)C(*)*,1127,3,Linker,---
*NC(=O)NS(*)(=O)=O,1125,2,Linker,--
*COCC,1125,1,Sub,-
*NC(=O)OCC,1125,1,Sub,-
*c1cccc(-c2ccccc2)c1,1119,1,Ring,-
*N1CCC(*)(c2ccccc2)CC1,1119,2,Ring,--
*c1ccc2[nH]ncc2c1,1118,1,Ring,-
*N1CCC1(*)*,1116,3,Ring,---
*C(=O)CO,1115,1,Sub,-
*SCCC,1115,1,Sub,-
*c1cnn2cccnc12,1112,1,Ring,-
*CCC#N,1109,1,Sub,-
*c1ccc(C2CCN(*)CC2)cc1,1108,2,Ring,--
*CC(=O)N(*)C,1107,2,Linker,--
*SCC(=O)O,1106,1,Sub,-
*C1=CC(*)=C(*)C(=*)N1,1103,4,Ring,---=
*C(=O)NC(CCC(=O)O)C(=O)O,1103,1,Sub,-
*[S+](C)[O-],1099,1,Sub,-
